RainTomorrow,Year,Month,Day,DayOfYear,hum_now,temp_now
0,2008,12,1,336,22.0,21.8
0,2008,12,2,337,25.0,24.3
0,2008,12,3,338,30.0,23.2
0,2008,12,4,339,16.0,26.5
0,2008,12,5,340,33.0,29.7
0,2008,12,6,341,23.0,28.9
0,2008,12,7,342,19.0,24.6
0,2008,12,8,343,19.0,25.5
1,2008,12,9,344,9.0,30.2
0,2008,12,10,345,27.0,28.2
1,2008,12,11,346,22.0,28.8
1,2008,12,12,347,91.0,17.0
1,2008,12,13,348,93.0,15.8
0,2008,12,14,349,43.0,19.8
0,2008,12,15,350,32.0,23.5
0,2008,12,16,351,28.0,26.2
1,2008,12,17,352,82.0,18.1
1,2008,12,18,353,65.0,21.5
0,2008,12,19,354,32.0,21.0
0,2008,12,20,355,26.0,23.2
0,2008,12,21,356,28.0,27.3
0,2008,12,22,357,28.0,31.6
0,2008,12,23,358,24.0,30.8
0,2008,12,24,359,23.0,29.0
0,2008,12,25,360,17.0,31.2
0,2008,12,26,361,19.0,33.0
0,2008,12,27,362,28.0,31.2
0,2008,12,28,363,15.0,32.1
1,2008,12,29,364,22.0,26.1
0,2008,12,30,365,70.0,18.2
0,2008,12,31,366,28.0,22.7
0,2009,1,1,1,26.0,25.7
0,2009,1,2,2,22.0,22.1
0,2009,1,3,3,22.0,26.5
0,2009,1,4,4,12.0,33.9
0,2009,1,5,5,9.0,34.4
0,2009,1,6,6,8.0,36.8
0,2009,1,7,7,12.0,38.4
0,2009,1,8,8,15.0,27.6
0,2009,1,9,9,16.0,26.6
0,2009,1,10,10,24.0,29.3
0,2009,1,11,11,31.0,30.0
0,2009,1,12,12,16.0,33.2
0,2009,1,13,13,19.0,35.7
0,2009,1,14,14,8.0,41.5
0,2009,1,15,15,28.0,27.1
0,2009,1,16,16,20.0,25.5
0,2009,1,17,17,16.0,25.8
0,2009,1,18,18,17.0,30.5
0,2009,1,19,19,10.0,34.4
0,2009,1,20,20,21.0,37.7
0,2009,1,21,21,17.0,36.1
1,2009,1,22,22,39.0,33.1
0,2009,1,23,23,28.0,33.0
0,2009,1,24,24,21.0,29.7
0,2009,1,25,25,10.0,32.1
0,2009,1,26,26,12.0,36.5
0,2009,1,27,27,25.0,36.2
0,2009,1,28,28,15.0,39.2
0,2009,1,29,29,13.0,40.1
0,2009,1,30,30,11.0,41.2
0,2009,1,31,31,11.0,42.0
0,2009,2,1,32,9.0,41.9
0,2009,2,2,33,21.0,37.1
0,2009,2,3,34,21.0,36.2
0,2009,2,5,36,15.0,39.7
0,2009,2,6,37,8.0,41.6
0,2009,2,7,38,11.0,43.4
0,2009,2,8,39,19.0,38.5
0,2009,2,9,40,31.0,29.4
0,2009,2,10,41,30.0,25.8
0,2009,2,11,42,24.0,24.9
1,2009,2,12,43,69.0,17.3
0,2009,2,13,44,21.0,27.6
0,2009,2,14,45,18.0,28.5
0,2009,2,15,46,23.0,29.2
0,2009,2,16,47,22.0,29.5
0,2009,2,17,48,17.0,27.0
0,2009,2,18,49,22.0,30.7
0,2009,2,19,50,16.0,32.7
0,2009,2,20,51,39.0,26.8
0,2009,2,21,52,19.0,29.8
0,2009,2,22,53,23.0,31.3
0,2009,2,23,54,10.0,33.4
0,2009,2,24,55,14.0,28.6
0,2009,2,25,56,16.0,29.3
0,2009,2,26,57,19.0,30.5
0,2009,2,27,58,25.0,30.8
0,2009,2,28,59,14.0,33.6
0,2009,3,1,60,27.0,28.1
0,2009,3,2,61,25.0,29.8
0,2009,3,3,62,35.0,29.2
0,2009,3,4,63,26.0,21.9
0,2009,3,5,64,33.0,21.4
0,2009,3,6,65,23.0,22.0
0,2009,3,7,66,22.0,27.0
0,2009,3,8,67,20.0,28.8
0,2009,3,9,68,28.0,30.5
1,2009,3,10,69,25.0,30.8
0,2009,3,11,70,23.0,29.6
1,2009,3,12,71,90.0,18.8
1,2009,3,13,72,68.0,23.8
1,2009,3,14,73,74.0,19.7
0,2009,3,15,74,41.0,18.3
0,2009,3,16,75,34.0,20.5
0,2009,3,17,76,34.0,23.9
0,2009,3,18,77,19.0,27.2
0,2009,3,19,78,15.0,29.3
0,2009,3,20,79,13.0,32.6
0,2009,3,21,80,17.0,33.5
0,2009,3,22,81,30.0,29.0
0,2009,3,23,82,25.0,31.4
0,2009,3,24,83,20.0,30.7
1,2009,3,25,84,78.0,19.6
0,2009,3,26,85,26.0,29.2
0,2009,3,27,86,30.0,26.8
0,2009,3,28,87,26.0,27.7
0,2009,3,29,88,18.0,29.9
0,2009,3,30,89,16.0,29.2
0,2009,3,31,90,25.0,28.6
0,2009,4,1,91,22.0,29.5
1,2009,4,2,92,30.0,30.9
1,2009,4,3,93,49.0,27.4
0,2009,4,4,94,33.0,20.3
0,2009,4,5,95,37.0,21.2
0,2009,4,6,96,20.0,20.9
0,2009,4,7,97,27.0,21.6
0,2009,4,8,98,30.0,23.5
0,2009,4,9,99,27.0,25.0
1,2009,4,10,100,42.0,24.3
1,2009,4,11,101,47.0,24.4
0,2009,4,12,102,52.0,23.1
0,2009,4,13,103,35.0,25.0
0,2009,4,14,104,39.0,24.6
0,2009,4,15,105,27.0,18.9
0,2009,4,16,106,30.0,19.4
0,2009,4,17,107,39.0,21.6
0,2009,4,18,108,37.0,22.9
0,2009,4,19,109,33.0,23.6
0,2009,4,20,110,29.0,21.3
0,2009,4,21,111,39.0,20.9
